year,Australia,Austria,Belgium and Luxembourg,Canada,China,Colombia,Denmark,Finland,France,Germany,Greece,India,Ireland,Italy,Japan,Mexico,Netherlands,Norway,Portugal,ROW,South Korea,Spain,Sweden,United Kingdom,United States
   1982.0000, 148020.5334     +0.0000i,  72631.8925     +0.0000i,  66123.1192     +0.0000i, 251295.8923     +0.0000i, 221790.9104     +0.0000i,  34045.0348     +0.0000i,  63895.7439     +0.0000i,  45021.7873     +0.0000i, 485234.0551     +0.0000i, 646031.1090     +0.0000i,  38769.3848     +0.0000i, 148935.9618     +0.0000i,  45910.5660     +0.0000i, 371064.7106     +0.0000i, 979746.6798     +0.0000i, 121942.0237     +0.0000i, 106640.8934     +0.0000i, 287295.6935     +0.0000i,  35065.5058     +0.0000i,3156523.0636     +0.0000i,  59597.8399     +0.0000i, 175513.6863     +0.0000i, 106922.9720     +0.0000i, 462360.4458     +0.0000i,2997395.0844     +0.0000i
   1983.0000, 141701.4395     +0.0000i,  73762.9324     +0.0000i,  66033.1934     +0.0000i, 276210.2234     +0.0000i, 246228.4237     +0.0000i,  34626.1303     +0.0000i,  59970.2241     +0.0000i,  44025.7392     +0.0000i, 461976.8665     +0.0000i, 646254.6658     +0.0000i,  36444.8147     +0.0000i, 156112.5801     +0.0000i,  48082.9599     +0.0000i, 386287.1123     +0.0000i,1090378.6178     +0.0000i, 105930.5136     +0.0000i, 104504.4065     +0.0000i, 274357.6589     +0.0000i,  30756.9304     +0.0000i,3139109.2250     +0.0000i,  63352.1978     +0.0000i, 154476.7242     +0.0000i,  99451.6217     +0.0000i, 446581.4531     +0.0000i,3197081.1670     +0.0000i
   1984.0000, 155402.0672     +0.0000i,  65946.3247     +0.0000i,  62661.3720     +0.0000i, 273215.6790     +0.0000i, 215810.6813     +0.0000i,  37143.8879     +0.0000i,  63100.1065     +0.0000i,  49261.3926     +0.0000i, 442933.0322     +0.0000i, 613093.2315     +0.0000i,  34285.9004     +0.0000i, 160910.3177     +0.0000i, 258511.4893     +0.0000i, 386168.2903     +0.0000i,1070045.6580     +0.0000i, 121376.4137     +0.0000i, 107875.8771     +0.0000i, 284337.5875     +0.0000i,  29075.2120     +0.0000i,2943819.3707     +0.0000i,  68971.1132     +0.0000i, 157554.9022     +0.0000i, 108885.9539     +0.0000i, 505827.3962     +0.0000i,3526303.5191     +0.0000i
   1985.0000, 143312.9738     +0.0000i,  66378.8487     +0.0000i,  49317.0234     +0.0000i, 287975.4720     +0.0000i, 261891.5718     +0.0000i,  32389.5702     +0.0000i,  69987.2207     +0.0000i,  50920.1552     +0.0000i, 474986.6795     +0.0000i, 620055.0194     +0.0000i,  35953.2460     +0.0000i, 181467.9263     +0.0000i, 276434.8307     +0.0000i, 398860.9625     +0.0000i,1157508.6096     +0.0000i, 125501.4465     +0.0000i, 105178.4948     +0.0000i, 290178.7361     +0.0000i,  31057.0002     +0.0000i,2962376.8702     +0.0000i,  71896.7518     +0.0000i, 168302.3527     +0.0000i, 117720.9644     +0.0000i, 558974.8867     +0.0000i,3703388.3220     +0.0000i
   1986.0000, 143919.5183     +0.0000i, 106312.9169     +0.0000i, 385210.7920     +0.0000i, 290946.9853     +0.0000i, 249454.9527     +0.0000i,  30907.1798     +0.0000i,  99746.1559     +0.0000i,  64384.7897     +0.0000i, 747043.7858     +0.0000i,1009152.6679     +0.0000i,  44998.1955     +0.0000i, 172306.9906     +0.0000i,  75835.4469     +0.0000i, 593120.8227     +0.0000i,1662649.3745     +0.0000i,  86170.6841     +0.0000i, 182137.0312     +0.0000i, 349728.8283     +0.0000i,  38469.1738     +0.0000i,3075677.7962     +0.0000i,  75561.0729     +0.0000i, 228960.6047     +0.0000i, 164269.4174     +0.0000i, 556936.8690     +0.0000i,3758137.8239     +0.0000i
   1987.0000, 155185.7127     +0.0000i, 112165.2159     +0.0000i, 442864.7542     +0.0000i, 326276.6063     +0.0000i, 282050.8367     +0.0000i,  35961.6756     +0.0000i, 108411.4377     +0.0000i,  78308.0015     +0.0000i, 846944.1395     +0.0000i,1171687.4721     +0.0000i,  50278.5663     +0.0000i, 162015.8832     +0.0000i,  87917.3058     +0.0000i, 694945.5562     +0.0000i,1852808.2594     +0.0000i, 513731.5695     +0.0000i, 211588.7907     +0.0000i, 395701.6605     +0.0000i,  45942.9667     +0.0000i,3086343.0865     +0.0000i,  90935.3655     +0.0000i, 285367.3917     +0.0000i, 189940.2088     +0.0000i, 665592.0984     +0.0000i,4016293.4077     +0.0000i
   1988.0000, 193184.8442     +0.0000i, 116116.5674     +0.0000i, 488194.6692     +0.0000i, 377440.0505     +0.0000i, 306748.0053     +0.0000i,  39366.5487     +0.0000i, 127360.4327     +0.0000i,  94967.9390     +0.0000i, 891410.1984     +0.0000i,1238548.5973     +0.0000i,  56273.1487     +0.0000i, 191988.6762     +0.0000i, 434067.7645     +0.0000i, 763830.7312     +0.0000i,2065767.1397     +0.0000i, 642013.7775     +0.0000i, 229614.2575     +0.0000i, 441189.0222     +0.0000i,  53884.8381     +0.0000i,3193989.8362     +0.0000i, 107082.3594     +0.0000i, 338082.0706     +0.0000i, 221678.6276     +0.0000i, 952534.8758     +0.0000i,4159397.8530     +0.0000i
   1989.0000, 217657.3867     +0.0000i, 139260.1069     +0.0000i, 506867.5648     +0.0000i, 397453.7675     +0.0000i, 301298.6831     +0.0000i,  38437.1003     +0.0000i, 126757.5785     +0.0000i, 106764.6113     +0.0000i, 897967.2164     +0.0000i,1244918.9333     +0.0000i,  62243.9292     +0.0000i, 199382.1913     +0.0000i, 451387.0172     +0.0000i, 795837.2239     +0.0000i,2000726.2652     +0.0000i, 778786.7331     +0.0000i, 223643.1206     +0.0000i, 424109.5773     +0.0000i,  56767.3617     +0.0000i,3311738.1739     +0.0000i, 139057.2786     +0.0000i, 373480.0617     +0.0000i, 228283.6750     +0.0000i, 959774.0881     +0.0000i,4518588.0214     +0.0000i
   1990.0000, 209331.2544     +0.0000i, 185862.4133     +0.0000i, 581547.8342     +0.0000i, 404140.0041     +0.0000i, 269829.7269     +0.0000i,  40502.1363     +0.0000i, 152907.0403     +0.0000i, 115830.9372     +0.0000i,1096364.0277     +0.0000i,1564362.3985     +0.0000i,  73823.6569     +0.0000i,1039702.7797     +0.0000i, 159085.0917     +0.0000i, 966125.2647     +0.0000i,2092983.5250     +0.0000i, 841341.9954     +0.0000i, 258813.5885     +0.0000i, 465463.0740     +0.0000i,  71032.7361     +0.0000i,3234132.2574     +0.0000i, 177372.0272     +0.0000i, 463072.7749     +0.0000i, 248305.6433     +0.0000i, 921446.5886     +0.0000i,4763849.8137     +0.0000i
   1991.0000, 210495.9953     +0.0000i, 168343.8578     +0.0000i, 608522.3891     +0.0000i, 405090.0084     +0.0000i, 678298.0181     +0.0000i,  37967.4059     +0.0000i, 143575.0578     +0.0000i,  96229.3448     +0.0000i,1064729.7672     +0.0000i,1696233.8366     +0.0000i,  80798.8148     +0.0000i, 993023.5274     +0.0000i, 115179.4755     +0.0000i, 979528.8521     +0.0000i,2378489.6993     +0.0000i, 934558.1546     +0.0000i, 262652.4502     +0.0000i, 485203.7778     +0.0000i,  84617.8984     +0.0000i,3359448.3482     +0.0000i, 221528.9185     +0.0000i, 486995.8135     +0.0000i, 253179.8700     +0.0000i, 879587.0142     +0.0000i,4709444.5721     +0.0000i
