                  country,   volatility
                Australia, 0.0009611938
                  Austria, 0.0003657718
   Belgium and Luxembourg, 0.0045910187
                   Canada, 0.0003840465
                    China, 0.0058572388
                 Colombia, 0.0007773737
                  Denmark, 0.0002477012
                  Finland, 0.0004701747
                   France, 0.0001709172
                  Germany, 0.0001743381
                   Greece, 0.0002511371
                    India, 0.0020988853
                  Ireland, 0.0620066904
                    Italy, 0.0001037234
                    Japan, 0.0001346761
                   Mexico, 0.0033380241
              Netherlands, 0.0021084311
                   Norway, 0.0049350534
                 Portugal, 0.0027435620
                      ROW, 0.0017220917
              South Korea, 0.0010460503
                    Spain, 0.0001722793
                   Sweden, 0.0003579737
           United Kingdom, 0.0001749191
            United States, 0.0001936915
