model, baseline, nosectoral, kappa1972, kappa1972_nosectoral
io_link, 0, 0, 0, 0
balanced_trade, 1, 1, 1, 1
labor_adjustment_cost, 0, 0, 0, 0
theta, 4, 4, 4, 4
eta, 4, 4, 4, 4
trade_cost, 0, 0, 1, 1
shock, 0, 1, 0, 1
