                  country,   volatility
                Australia, 0.0007883171
                  Austria, 0.0001794379
   Belgium and Luxembourg, 0.0002019962
                   Canada, 0.0001515085
                    China, 0.0057540604
                 Colombia, 0.0008269835
                  Denmark, 0.0001345019
                  Finland, 0.0003465548
                   France, 0.0001390792
                  Germany, 0.0001514846
                   Greece, 0.0002658076
                    India, 0.0007734506
                  Ireland, 0.0005276786
                    Italy, 0.0000881354
                    Japan, 0.0001309666
                   Mexico, 0.0009489527
              Netherlands, 0.0001279423
                   Norway, 0.0004663038
                 Portugal, 0.0009479653
                      ROW, 0.0017324080
              South Korea, 0.0007350622
                    Spain, 0.0001513413
                   Sweden, 0.0001854400
           United Kingdom, 0.0001605392
            United States, 0.0001897685
