                  country,   volatility
                Australia, 0.0009674867
                  Austria, 0.0003546378
   Belgium and Luxembourg, 0.0060405562
                   Canada, 0.0004605339
                    China, 0.0064654502
                 Colombia, 0.0010156639
                  Denmark, 0.0005007606
                  Finland, 0.0005431777
                   France, 0.0002919525
                  Germany, 0.0003105406
                   Greece, 0.0003619372
                    India, 0.0023908169
                  Ireland, 0.0935391534
                    Italy, 0.0001842709
                    Japan, 0.0002791371
                   Mexico, 0.0040284122
              Netherlands, 0.0026149834
                   Norway, 0.0071877814
                 Portugal, 0.0034204145
                      ROW, 0.0016369415
              South Korea, 0.0016588774
                    Spain, 0.0002006254
                   Sweden, 0.0004462206
           United Kingdom, 0.0002406585
            United States, 0.0003183286
