                  country,   volatility
                Australia, 0.0008318428
                  Austria, 0.0001991024
   Belgium and Luxembourg, 0.0003983074
                   Canada, 0.0002258479
                    China, 0.0063434665
                 Colombia, 0.0010539176
                  Denmark, 0.0003692934
                  Finland, 0.0004198051
                   France, 0.0002621671
                  Germany, 0.0002918331
                   Greece, 0.0003844463
                    India, 0.0008178371
                  Ireland, 0.0008135396
                    Italy, 0.0001943663
                    Japan, 0.0002957635
                   Mexico, 0.0008222280
              Netherlands, 0.0002586315
                   Norway, 0.0005617845
                 Portugal, 0.0012883762
                      ROW, 0.0016531056
              South Korea, 0.0010484269
                    Spain, 0.0002095708
                   Sweden, 0.0002066670
           United Kingdom, 0.0002418510
            United States, 0.0003239723
