year,Australia,Austria,Belgium and Luxembourg,Canada,China,Colombia,Denmark,Finland,France,Germany,Greece,India,Ireland,Italy,Japan,Mexico,Netherlands,Norway,Portugal,ROW,South Korea,Spain,Sweden,United Kingdom,United States
   1982.0000, 143755.5197     +0.0000i,  61365.3347     +0.0000i,  82820.3299     +0.0000i, 253311.6844     +0.0000i, 245572.4875     +0.0000i,  36999.1284     +0.0000i,  46341.3851     +0.0000i,  42867.9063     +0.0000i, 501603.7245     +0.0000i, 680898.5879     +0.0000i,  41335.2243     +0.0000i, 155633.6282     +0.0000i,  17571.7344     +0.0000i, 386187.8588     +0.0000i,1127678.6267     +0.0000i, 124545.1350     +0.0000i, 118837.9379     +0.0000i,  49342.7083     +0.0000i,  30924.2537     +0.0000i,3229255.4617     +0.0000i,  77493.0043     +0.0000i, 172816.3777     +0.0000i,  87133.6950     +0.0000i, 448094.9204     +0.0000i,2945998.1029     +0.0000i
   1983.0000, 133705.7872     +0.0000i,  60359.2141     +0.0000i,  80898.1675     +0.0000i, 279695.7567     +0.0000i, 274751.4587     +0.0000i,  36943.8911     +0.0000i,  44692.7750     +0.0000i,  42084.2946     +0.0000i, 475594.5026     +0.0000i, 671879.5426     +0.0000i,  38955.0939     +0.0000i, 175903.0623     +0.0000i,  18021.0877     +0.0000i, 393586.8080     +0.0000i,1230504.8558     +0.0000i, 110872.4288     +0.0000i, 116916.2072     +0.0000i,  46549.2057     +0.0000i,  26517.0479     +0.0000i,3198919.6288     +0.0000i,  83346.2786     +0.0000i, 152125.2484     +0.0000i,  80536.8460     +0.0000i, 429841.8546     +0.0000i,3151527.0961     +0.0000i
   1984.0000, 147719.1171     +0.0000i,  58173.5204     +0.0000i,  78899.8931     +0.0000i, 290095.7365     +0.0000i, 271634.5755     +0.0000i,  40959.7606     +0.0000i,  45395.6687     +0.0000i,  43114.8405     +0.0000i, 452643.4222     +0.0000i, 631405.1083     +0.0000i,  37327.9474     +0.0000i, 163004.7459     +0.0000i,  17320.4939     +0.0000i, 396017.5713     +0.0000i,1288437.4994     +0.0000i, 133798.3985     +0.0000i, 112971.6381     +0.0000i,  48012.0423     +0.0000i,  23895.5423     +0.0000i,3064115.6724     +0.0000i,  96328.7716     +0.0000i, 153021.9637     +0.0000i,  83391.5759     +0.0000i, 398061.0232     +0.0000i,3598711.2918     +0.0000i
   1985.0000, 136781.7723     +0.0000i,  59944.7430     +0.0000i,  77321.6650     +0.0000i, 302566.8615     +0.0000i, 327847.6823     +0.0000i,  35323.4296     +0.0000i,  50885.4393     +0.0000i,  45467.1246     +0.0000i, 486101.8823     +0.0000i, 649893.1035     +0.0000i,  38595.3384     +0.0000i, 179593.1193     +0.0000i,  19454.9967     +0.0000i, 416502.2595     +0.0000i,1380450.4871     +0.0000i, 143538.6970     +0.0000i, 115853.6780     +0.0000i,  50136.5259     +0.0000i,  26255.4324     +0.0000i,3098644.8307     +0.0000i,  99845.5863     +0.0000i, 166878.7537     +0.0000i,  89887.8814     +0.0000i, 434310.7099     +0.0000i,3764410.4665     +0.0000i
   1986.0000, 140155.4239     +0.0000i,  84830.8898     +0.0000i, 110931.0770     +0.0000i, 316808.6515     +0.0000i, 323384.4599     +0.0000i,  35917.6470     +0.0000i,  71078.5160     +0.0000i,  58585.0419     +0.0000i, 676363.7967     +0.0000i, 953195.5810     +0.0000i,  47518.6763     +0.0000i, 199101.9653     +0.0000i,  25597.1605     +0.0000i, 586388.5994     +0.0000i,1997206.8425     +0.0000i, 114203.1339     +0.0000i, 173177.3861     +0.0000i,  63470.1054     +0.0000i,  35817.8583     +0.0000i,3216270.6816     +0.0000i, 110864.9583     +0.0000i, 229740.8161     +0.0000i, 122096.9731     +0.0000i, 519651.5862     +0.0000i,3894602.2376     +0.0000i
   1987.0000, 157573.0257     +0.0000i, 102545.1952     +0.0000i, 133860.2574     +0.0000i, 363386.3494     +0.0000i, 356418.8605     +0.0000i,  38190.1472     +0.0000i,  82855.3307     +0.0000i,  75210.3808     +0.0000i, 794162.7189     +0.0000i,1144197.0259     +0.0000i,  55177.1025     +0.0000i, 203718.2235     +0.0000i,  30052.0747     +0.0000i, 713565.7510     +0.0000i,2389907.6626     +0.0000i, 113778.6719     +0.0000i, 210413.8176     +0.0000i,  77318.3472     +0.0000i,  44614.0764     +0.0000i,3352105.9896     +0.0000i, 144572.0076     +0.0000i, 294733.4442     +0.0000i, 148108.2588     +0.0000i, 639744.7617     +0.0000i,4185945.6368     +0.0000i
   1988.0000, 199325.1569     +0.0000i, 112670.5781     +0.0000i, 140944.7405     +0.0000i, 425048.8864     +0.0000i, 414208.9538     +0.0000i,  42120.2888     +0.0000i,  86241.6046     +0.0000i,  87595.8505     +0.0000i, 848763.5518     +0.0000i,1227067.2130     +0.0000i,  61064.8607     +0.0000i, 228917.1426     +0.0000i,  33373.2835     +0.0000i, 788677.3240     +0.0000i,2878911.2386     +0.0000i, 148615.8963     +0.0000i, 221939.6321     +0.0000i,  84086.0241     +0.0000i,  54078.5375     +0.0000i,3555199.8655     +0.0000i, 186778.4069     +0.0000i, 350459.4907     +0.0000i, 167801.3686     +0.0000i, 777458.8904     +0.0000i,4531946.3100     +0.0000i
   1989.0000, 227260.7621     +0.0000i, 113813.5033     +0.0000i, 146992.4981     +0.0000i, 454143.0708     +0.0000i, 446253.4674     +0.0000i,  39961.7781     +0.0000i,  86412.2949     +0.0000i,  99050.7735     +0.0000i, 860759.1835     +0.0000i,1233592.0258     +0.0000i,  65294.9057     +0.0000i, 235721.5547     +0.0000i,  35151.5189     +0.0000i, 828651.4314     +0.0000i,2869071.9254     +0.0000i, 173980.1948     +0.0000i, 220729.0675     +0.0000i,  81331.8654     +0.0000i,  57333.7556     +0.0000i,3707711.2529     +0.0000i, 229755.4979     +0.0000i, 384619.7451     +0.0000i, 175880.4856     +0.0000i, 782959.6606     +0.0000i,4878272.9218     +0.0000i
   1990.0000, 226490.7906     +0.0000i, 148919.1313     +0.0000i, 183385.5032     +0.0000i, 472163.1983     +0.0000i, 452289.0359     +0.0000i,  43448.5800     +0.0000i, 110197.2207     +0.0000i, 119313.0309     +0.0000i,1090359.2329     +0.0000i,1621731.0250     +0.0000i,  77208.2757     +0.0000i, 276311.1919     +0.0000i,  46348.7593     +0.0000i,1037907.8968     +0.0000i,3079382.3095     +0.0000i, 191035.5792     +0.0000i, 274802.8483     +0.0000i,  96101.2414     +0.0000i,  74185.4365     +0.0000i,3595120.9441     +0.0000i, 274792.2366     +0.0000i, 496530.3235     +0.0000i, 209336.4931     +0.0000i, 918760.4191     +0.0000i,5205239.4707     +0.0000i
   1991.0000, 225111.2576     +0.0000i, 152230.3266     +0.0000i, 183488.4862     +0.0000i, 482638.4426     +0.0000i, 461498.4947     +0.0000i,  43037.4025     +0.0000i, 108919.3483     +0.0000i,  97991.1114     +0.0000i,1080351.7375     +0.0000i,1744734.7887     +0.0000i,  84783.3105     +0.0000i, 235240.0058     +0.0000i,  47531.9648     +0.0000i,1084029.9664     +0.0000i,3505100.9788     +0.0000i, 231593.1634     +0.0000i, 281747.0045     +0.0000i,  91700.0347     +0.0000i,  83398.3776     +0.0000i,3797837.9157     +0.0000i, 325984.0464     +0.0000i, 531692.1496     +0.0000i, 205595.1785     +0.0000i, 907695.3515     +0.0000i,5285077.0295     +0.0000i
